chr1	6382841	6382862	GC_rich	21	+
chr1	6383205	6383216	GC_rich	24	+
chr1	9967415	9967442	GC_rich	27	+
chr1	9967639	9967671	(CCCG)n	288	+
chr1	10232500	10232675	G-rich	364	+
chr1	13373821	13373853	GC_rich	25	+
chr1	13373887	13373911	GC_rich	24	+
chr1	13374083	13374109	(TCC)n	213	+
chr1	13589396	13589433	GC_rich	23	+
chr1	13589465	13589525	GC_rich	25	+
chr1	14506821	14506841	(CGGGG)n	180	+
chr1	17097748	17097838	(CCG)n	260	+
chr1	21079233	21079236	(CCCCG)n	208	+
chr1	21961680	21961701	GC_rich	21	+
chr1	22327660	22327758	(CCTA)n	1317	+
chr1	22327758	22327815	Lx6	6054	+
chr1	22327815	22327974	(TCTA)n	1350	+
chr1	24099858	24099895	GC_rich	23	+
chr1	30042527	30042949	L1Md_A	41141	-
chr1	31700803	31701143	L1Md_T	37920	-
chr1	36511990	36512014	GC_rich	24	+
chr1	37429683	37429773	MIRb	232	-
chr1	42695838	42695906	(GA)n	387	+
chr1	42697450	42697488	(CCG)n	237	+
chr1	42697546	42697573	(CCG)n	189	+
chr1	42697657	42697678	GC_rich	21	+
chr1	42697706	42697753	(CCG)n	315	+
chr1	42697845	42697876	GC_rich	24	+
chr1	42698023	42698044	GC_rich	21	+
chr1	42698663	42698672	(CCG)n	610	+
chr1	44101990	44102014	(A)n	216	+
chr1	44481029	44481433	L1Md_T	33773	+
chr1	47629940	47630389	L1Md_T	36445	+
chr1	48546283	48546465	L1Md_T	35268	+
chr1	52232431	52232453	GC_rich	22	+
chr1	52232694	52232722	(CTG)n	252	+
chr1	52232778	52232820	GC_rich	28	+
chr1	52232860	52232889	GC_rich	22	+
chr1	54194984	54195006	(CCG)n	198	+
chr1	54926073	54926115	GC_rich	21	+
chr1	55362783	55362811	GC_rich	21	+
chr1	55363414	55363585	(CGG)n	244	+
chr1	55363909	55364041	B1_Mur2	623	+
chr1	55364041	55364075	(TCCC)n	495	+
