"Gene.stable.ID","Gene.name"
"ENSMUSG00000071719","Nalf2"
"ENSMUSG00000067599","Klra7"
"ENSMUSG00000059327","Eda"
"ENSMUSG00000035694","Caps2"
"ENSMUSG00000023041","Krt6b"
"ENSMUSG00000038127","Ccdc50"
"ENSMUSG00000113885","Gm47802"
"ENSMUSG00000113650","Gm47826"
"ENSMUSG00000035112","Wnk4"
"ENSMUSG00000035493","Tgfbi"
"ENSMUSG00000115412","Gm49094"
"ENSMUSG00000090305","Gm5459"
"ENSMUSG00000058351","Uqcc5"
"ENSMUSG00002075844","Gm55157"
"ENSMUSG00000119810","Mir7676-2"
"ENSMUSG00000070235","Gm26329"
"ENSMUSG00000058354","Krt6a"
"ENSMUSG00000021996","Esd"
"ENSMUSG00000028729","Ebna1bp2"
"ENSMUSG00000112817","Gm48122"
"ENSMUSG00000020657","Dnajc27"
"ENSMUSG00000085846","Gm15597"
"ENSMUSG00000117130","Gm49802"
"ENSMUSG00000117263","Gm35290"
"ENSMUSG00000062859","Tcp11"
"ENSMUSG00002075978","Gm55158"
"ENSMUSG00000061527","Krt5"
"ENSMUSG00000032410","Xrn1"
"ENSMUSG00000042507","Mideas"
"ENSMUSG00000112564","Gm47419"
"ENSMUSG00002076431","Gm55161"
"ENSMUSG00000062154","Cimip4"
"ENSMUSG00000119411","Gm23573"
"ENSMUSG00000046916","Myct1"
"ENSMUSG00000020354","Sgcd"
"ENSMUSG00000019772","Vip"
"ENSMUSG00000043698","Or13p10"
"ENSMUSG00000086521","Or13p9-ps1"
"ENSMUSG00000043383","Or13p4"
"ENSMUSG00000110983","Gm47679"
"ENSMUSG00000035681","Kcnc2"
"ENSMUSG00000046790","Or13p3"
"ENSMUSG00000082792","Gm12176"
"ENSMUSG00002076570","Gm56014"
"ENSMUSG00000084261","Rpl36a-ps4"
"ENSMUSG00000017188","Coa3"
"ENSMUSG00000055612","Cdca7"
"ENSMUSG00000070821","Or13p8"
"ENSMUSG00000065804","Gm23039"
"ENSMUSG00000025578","Cbx8"
"ENSMUSG00000070820","Or13p5"
"ENSMUSG00000113094","Gm47447"
"ENSMUSG00000095218","Or10ak14"
"ENSMUSG00000116445","Gm49481"
"ENSMUSG00000042962","Gm5436"
"ENSMUSG00000051879","Krt71"
"ENSMUSG00000072946","Ptgr2"
"ENSMUSG00000112678","Gm47492"
"ENSMUSG00000111159","Or10ak13"
"ENSMUSG00000019773","Fbxo5"
"ENSMUSG00000081474","Gm12855"
"ENSMUSG00000066061","Or10ak12"
"ENSMUSG00000110947","Or10ak11"
"ENSMUSG00000083336","Or10ak10-ps1"
"ENSMUSG00000081952","Gm12178"
"ENSMUSG00000044986","Tst"
"ENSMUSG00000073769","Or10ak9"
"ENSMUSG00000083954","Gm12179"
"ENSMUSG00000083159","Gm12180"
"ENSMUSG00000082250","Gm12181"
"ENSMUSG00000074748","Atxn7l3b"
"ENSMUSG00000042298","Ttc19"
"ENSMUSG00000073768","Or10ak16"
"ENSMUSG00000097185","Gm26596"
"ENSMUSG00000064707","Gm22507"
"ENSMUSG00000112807","Gm47519"
"ENSMUSG00000096705","Or10ak8"
"ENSMUSG00000019774","Mtrf1l"
"ENSMUSG00000071711","Mpst"
"ENSMUSG00000111259","Or10ak7"
"ENSMUSG00000084133","Gm12856"
"ENSMUSG00000024903","Lao1"
"ENSMUSG00000072718","Klra10"
"ENSMUSG00000111979","Gm47522"
"ENSMUSG00000112767","Gm47532"
"ENSMUSG00000112750","Gm47534"
"ENSMUSG00000112087","Gm40765"
"ENSMUSG00000112438","Gm40810"
"ENSMUSG00000112181","Gm47538"
"ENSMUSG00000104006","Gm38333"
"ENSMUSG00000112921","Gm48104"
"ENSMUSG00000030077","Chl1"
"ENSMUSG00000104335","Gm38281"
"ENSMUSG00000056605","Krt72"
"ENSMUSG00000019775","Rgs17"
"ENSMUSG00000085895","Gm12861"
"ENSMUSG00000060508","Nlrp9b"
"ENSMUSG00000089591","Gm24352"
"ENSMUSG00000082143","Gm12864"
"ENSMUSG00000087464","Gm12862"
"ENSMUSG00000028645","Slc2a1"
"ENSMUSG00002076405","Gm55284"
"ENSMUSG00000014850","Msh3"
"ENSMUSG00000081538","Rps13-ps8"
"ENSMUSG00000080865","Eif1-ps3"
"ENSMUSG00000063661","Krt73"
"ENSMUSG00000083279","Pex13-ps"
"ENSMUSG00000081957","Ak3l2-ps"
"ENSMUSG00000085252","8430437L04Rik"
"ENSMUSG00000026740","Dnajc1"
"ENSMUSG00000071547","Nt5dc2"
"ENSMUSG00000078653","Cntd1"
"ENSMUSG00000082907","Gm14832"
"ENSMUSG00000064201","Krt2"
"ENSMUSG00000083936","Gm14829"
"ENSMUSG00000080813","Gm14828"
"ENSMUSG00000076398","Mir676"
"ENSMUSG00000031220","Awat2"
"ENSMUSG00000103461","Gm37616"
"ENSMUSG00000027861","Casq2"
"ENSMUSG00000112179","Gm3213"
"ENSMUSG00000112312","Gm47755"
"ENSMUSG00000111902","Gm4921"
"ENSMUSG00000050663","Trhde"
"ENSMUSG00000081340","Gm12275"
"ENSMUSG00000039989","Cbx4"
"ENSMUSG00000119136","n-R5s152"
"ENSMUSG00000109103","Gm18877"
"ENSMUSG00000030539","Sema4b"
"ENSMUSG00000046834","Krt1"
"ENSMUSG00000116926","Gm18234"
"ENSMUSG00000116978","Gm49765"
"ENSMUSG00000022681","Ntan1"
"ENSMUSG00000086547","Gm11755"
"ENSMUSG00000051582","Otud6a"
"ENSMUSG00000039976","Tbc1d16"
"ENSMUSG00000031012","Cask"
"ENSMUSG00000067594","Krt77"
"ENSMUSG00000117120","Gm50238"
"ENSMUSG00000032624","Eml4"
"ENSMUSG00000088552","Mir1957a"
"ENSMUSG00000086683","Gm12867"
"ENSMUSG00000105342","Gm43244"
"ENSMUSG00000106296","4632404M16Rik"
"ENSMUSG00000085505","Gm12868"
"ENSMUSG00000008604","Ubqln4"
"ENSMUSG00000045268","Zfp691"
"ENSMUSG00000103762","Gm37861"
"ENSMUSG00000027620","Rbm39"
"ENSMUSG00000103971","Gm37679"
"ENSMUSG00000070103","Mir488"
"ENSMUSG00000102508","Gm37367"
"ENSMUSG00000102618","Gm37848"
"ENSMUSG00000026620","Mark1"
"ENSMUSG00002075120","Gm55666"
"ENSMUSG00000119363","Gm22070"
"ENSMUSG00000006764","Tph2"
"ENSMUSG00000061859","Patj"
"ENSMUSG00000113529","Gm47484"
"ENSMUSG00000020654","Adcy3"
"ENSMUSG00000075402","Krt76"
"ENSMUSG00000098704","Mir6934"
"ENSMUSG00000035086","Becn1"
"ENSMUSG00000020130","Tbc1d15"
"ENSMUSG00000069114","Zbtb10"
"ENSMUSG00002076101","Gm55167"
"ENSMUSG00000116194","Gm49434"
"ENSMUSG00000100622","Gm20379"
"ENSMUSG00000021707","Dhfr"
"ENSMUSG00000068015","Lrch1"
"ENSMUSG00000059668","Krt4"
"ENSMUSG00000108528","Gm8319"
"ENSMUSG00002076460","Gm55345"
"ENSMUSG00000095201","Vmn1r91"
"ENSMUSG00000041355","Ssr2"
"ENSMUSG00000076143","Mir708"
"ENSMUSG00000099030","Mir6394"
"ENSMUSG00000102784","Gm38251"
"ENSMUSG00000096152","Vmn1r240"
"ENSMUSG00000026155","Smap1"
"ENSMUSG00000108389","Gm45206"
"ENSMUSG00002075072","Gm55471"
"ENSMUSG00000083285","Gm15815"
"ENSMUSG00000082780","Rps11-ps5"
"ENSMUSG00000096164","Vmn1r93"
"ENSMUSG00000070084","Mir486"
"ENSMUSG00000106471","Mir3107"
"ENSMUSG00000063672","Nkx6-3"
"ENSMUSG00000085792","Gm15414"
"ENSMUSG00000021540","Smad5"
"ENSMUSG00000053049","Gm15413"
"ENSMUSG00000022523","Fgf12"
"ENSMUSG00000094011","Vmn1r94"
"ENSMUSG00000109240","Gm44598"
"ENSMUSG00002076783","Gm55961"
"ENSMUSG00000094735","Vmn1r95"
"ENSMUSG00000031545","Gpat4"
"ENSMUSG00000061397","Krt79"
"ENSMUSG00000094298","Vmn1r241"
"ENSMUSG00000087980","Gm22226"
"ENSMUSG00000094757","Vmn1r242"
"ENSMUSG00000109360","Gm18049"
"ENSMUSG00000109166","Gm5890"
"ENSMUSG00000109019","Gm18455"
"ENSMUSG00000095745","Vmn1r243"
"ENSMUSG00000094160","Vmn1r-ps79"
"ENSMUSG00000095806","Vmn1r244"
"ENSMUSG00000096386","Vmn1r100"
"ENSMUSG00000094545","Vmn1r101"
"ENSMUSG00000040209","Zfp704"
"ENSMUSG00000094762","Gm10670"
"ENSMUSG00000050463","Krt78"
"ENSMUSG00000096663","Vmn1r103"
"ENSMUSG00000050945","Zfp438"
"ENSMUSG00000096903","Vmn1r104"
"ENSMUSG00000096761","Vmn1r245"
"ENSMUSG00000076064","Mir690"
"ENSMUSG00002075895","Gm55162"
"ENSMUSG00000051065","Mb21d2"
"ENSMUSG00000095837","Vmn1r246"
"ENSMUSG00002076231","Gm55668"
"ENSMUSG00000111964","Gm8942"
"ENSMUSG00000109060","Gm4513"
"ENSMUSG00000020132","Rab21"
"ENSMUSG00000109469","Gm8486"
"ENSMUSG00000116861","Gm8253"
"ENSMUSG00000022525","Plaat1"
"ENSMUSG00000049382","Krt8"
"ENSMUSG00000095275","Vmn1r107"
"ENSMUSG00000103925","B230112G18Rik"
"ENSMUSG00000092487","Vmn1r-ps71"
"ENSMUSG00000095768","Vmn1r111"
"ENSMUSG00000031546","Gins4"
"ENSMUSG00000117548","Gm41662"
"ENSMUSG00000006740","Kif5b"
"ENSMUSG00000109138","Gm18052"
"ENSMUSG00000018995","Nars2"
"ENSMUSG00000015341","Golga7"
"ENSMUSG00000103485","Gm38001"
"ENSMUSG00000025369","Smarcc2"
"ENSMUSG00000103876","Gm17806"
"ENSMUSG00000026154","Sdhaf4"
"ENSMUSG00000106459","Gm43245"
"ENSMUSG00000027508","Pag1"
"ENSMUSG00000022680","Pdxdc1"
"ENSMUSG00000023043","Krt18"
"ENSMUSG00002075104","Gm55294"
"ENSMUSG00000032171","Pin1"
"ENSMUSG00002075185","Gm55295"
"ENSMUSG00000102495","Gm26524"
"ENSMUSG00000021725","Parp8"
"ENSMUSG00000073530","Pappa2"
"ENSMUSG00000101867","C78334"
"ENSMUSG00000032119","Hinfp"
"ENSMUSG00000058655","Eif4b"
"ENSMUSG00000027859","Ngf"
"ENSMUSG00000084152","Gm11617"
"ENSMUSG00000039963","Ccdc40"
"ENSMUSG00000110256","Gm45412"
"ENSMUSG00000077399","Gm24335"
"ENSMUSG00000031548","Sfrp1"
"ENSMUSG00000095190","Gm10668"
"ENSMUSG00000108834","Gm18458"
"ENSMUSG00000094284","Vmn1r112"
"ENSMUSG00000030538","Cib1"
"ENSMUSG00000037492","Zmat4"
"ENSMUSG00000089794","Gm16337"
"ENSMUSG00000047661","1600012P17Rik"
"ENSMUSG00000106121","Gm42679"
"ENSMUSG00002076636","Gm55352"
"ENSMUSG00000104619","Gm42678"
"ENSMUSG00000104685","Gm19202"
"ENSMUSG00000028163","Nfkb1"
"ENSMUSG00000115019","Gm4278"
"ENSMUSG00000042286","Stab1"
"ENSMUSG00000119108","Gm24072"
"ENSMUSG00000107804","Gm44439"
"ENSMUSG00000061992","Gm4953"
"ENSMUSG00000107919","Gm7946"
"ENSMUSG00000104169","Gm7430"
"ENSMUSG00000107595","Gm44441"
"ENSMUSG00000100931","Gm28085"
"ENSMUSG00000088265","Gm24784"
"ENSMUSG00000103507","Gm38375"
"ENSMUSG00000107511","Gm44440"
"ENSMUSG00000032172","Olfm2"
"ENSMUSG00000107823","Gm44436"
"ENSMUSG00000089091","Gm25656"
"ENSMUSG00000040782","Cop1"
"ENSMUSG00000108172","Pou5f1-rs5"
"ENSMUSG00000107074","Gm18100"
"ENSMUSG00000067591","Klra3"
"ENSMUSG00000037003","Tns2"
"ENSMUSG00000091165","Gm17036"
"ENSMUSG00000073640","Rpl27-ps3"
"ENSMUSG00000117387","Gm49986"
"ENSMUSG00000095614","Gm6291"
"ENSMUSG00000024240","Epc1"
"ENSMUSG00000079853","Klra1"
"ENSMUSG00000025234","Arih1"
"ENSMUSG00000109413","Gm45165"
"ENSMUSG00000109158","Gm45166"
"ENSMUSG00000053979","A730045E13Rik"
"ENSMUSG00000056313","Tcim"
"ENSMUSG00000108820","Gm44620"
"ENSMUSG00000109237","9130214F15Rik"
"ENSMUSG00000031549","Ido2"
"ENSMUSG00000084957","Bbip1"
"ENSMUSG00000000631","Myo18a"
"ENSMUSG00000050973","Gdpgp1"
"ENSMUSG00002076432","Gm55479"
"ENSMUSG00000108971","Gm18210"
"ENSMUSG00000031551","Ido1"
"ENSMUSG00000082954","Gm15504"
"ENSMUSG00000004508","Gab2"
"ENSMUSG00000084204","Gm6584"
"ENSMUSG00000082777","Gm15861"
"ENSMUSG00000107492","Gm6590"
"ENSMUSG00000098212","Gm53052"
"ENSMUSG00000098025","Gm27013"
"ENSMUSG00000107787","Gm44526"
"ENSMUSG00000098115","Gm8816"
"ENSMUSG00000107519","Gm26996"
"ENSMUSG00000098084","Gm26914"
"ENSMUSG00000098214","Gm27047"
"ENSMUSG00000107898","Gm53051"
"ENSMUSG00000108104","Gm20997"
"ENSMUSG00000108065","Gm18423"
"ENSMUSG00000098071","Gm44525"
"ENSMUSG00000107975","Gm44118"
"ENSMUSG00000107557","Gm53286"
"ENSMUSG00000107575","Gm44128"
"ENSMUSG00000107522","Gm55414"
"ENSMUSG00000107581","Gm44828"
"ENSMUSG00000107587","Gm44989"
"ENSMUSG00000108054","Gm44149"
"ENSMUSG00000107464","Gm44150"
"ENSMUSG00000020652","Cenpo"
"ENSMUSG00000090099","Gm8837"
"ENSMUSG00000030187","Klra2"
"ENSMUSG00000024976","Shoc2"
"ENSMUSG00000005534","Insr"
"ENSMUSG00000090516","Rps11-ps1"
"ENSMUSG00000111852","Gm33180"
"ENSMUSG00000088558","Gm22506"
"ENSMUSG00000117704","Gm50273"
"ENSMUSG00000049526","Tmem202"
"ENSMUSG00000118353","Nsa2-ps1"
"ENSMUSG00000065507","Mir204"
"ENSMUSG00000033717","Adra2a"
"ENSMUSG00000103572","Gm37115"
"ENSMUSG00000103186","Gm37088"
"ENSMUSG00002074853","Scarna3a"
"ENSMUSG00000105399","Mir1843b"
"ENSMUSG00000117921","Gm50186"
"ENSMUSG00000103289","Gm31256"
"ENSMUSG00000094085","Vmn1r114"
"ENSMUSG00000118324","Gm50187"
"ENSMUSG00000103389","Gm37757"
"ENSMUSG00000117755","Gm50188"
"ENSMUSG00000058873","Gm5582"
"ENSMUSG00000108284","Gm44182"
"ENSMUSG00000039318","Rab3gap2"
"ENSMUSG00000118207","Gm50191"
"ENSMUSG00000091435","Vmn1r115"
"ENSMUSG00000030092","Cntn6"
"ENSMUSG00000024978","Gpam"
"ENSMUSG00000095973","Vmn1r116"
"ENSMUSG00000096737","Vmn1r117"
"ENSMUSG00000101320","Gm28529"
"ENSMUSG00000035713","Usp35"
"ENSMUSG00000084514","Mir1893"
"ENSMUSG00000117425","Gm7464"
"ENSMUSG00000039540","4921524L21Rik"
"ENSMUSG00000025232","Hexa"
"ENSMUSG00000056608","Chd9"
"ENSMUSG00000112770","Gm48210"
"ENSMUSG00000112297","Gm17816"
"ENSMUSG00000096199","Ptrhd1"
"ENSMUSG00000112829","Gm29696"
"ENSMUSG00000042472","Zfp410"
"ENSMUSG00000048939","Atp13a5"
"ENSMUSG00000094589","Vmn1r118"
"ENSMUSG00000099623","Gm4526"
"ENSMUSG00000045467","Ttll13"
"ENSMUSG00000117620","Gm50077"
"ENSMUSG00000073639","Rab18"
"ENSMUSG00000041440","Gk5"
"ENSMUSG00000038116","Phf20"
"ENSMUSG00000117359","Gm7466"
"ENSMUSG00000117461","Gm50081"
"ENSMUSG00002076311","Gm55300"
"ENSMUSG00000031221","Igbp1"
"ENSMUSG00000110086","Smim32"
"ENSMUSG00000114609","Gm29767"
"ENSMUSG00000114876","Gm48026"
"ENSMUSG00000117652","Gm2350"
"ENSMUSG00000114964","Gm18945"
"ENSMUSG00000061013","Mkx"
"ENSMUSG00000045034","Ankrd34b"
"ENSMUSG00000044952","Kctd21"
"ENSMUSG00000109272","Gm4528"
"ENSMUSG00000094010","Vmn1r119"
"ENSMUSG00000094501","Vmn1r-ps73"
"ENSMUSG00000093986","Vmn1r120"
"ENSMUSG00000092616","Vmn1r-ps74"
"ENSMUSG00000094680","Vmn1r121"
"ENSMUSG00000047084","Ngrn"
"ENSMUSG00000102795","Gm6236"
"ENSMUSG00000105498","Gm42677"
"ENSMUSG00000103698","Gm17877"
"ENSMUSG00000067597","Dgat2l6"
"ENSMUSG00000105570","Gm42682"
"ENSMUSG00000106149","Gm43430"
"ENSMUSG00000027533","Fabp5"
"ENSMUSG00000117381","Gm10350"
"ENSMUSG00000061802","Odad2"
"ENSMUSG00000094001","Vmn1r122"
"ENSMUSG00000035704","Alg8"
"ENSMUSG00000034334","Fam151b"
"ENSMUSG00000041147","Brca2"
"ENSMUSG00000021997","Lrrc63"
"ENSMUSG00000049230","Myef2l"
"ENSMUSG00000040229","Gpr34"
"ENSMUSG00000103045","Gm37308"
"ENSMUSG00000052468","Pmp2"
"ENSMUSG00000021728","Emb"
"ENSMUSG00000103124","Gm37389"
"ENSMUSG00000027528","Fabp9"
"ENSMUSG00000021998","Lcp1"
"ENSMUSG00000046229","Scand1"
"ENSMUSG00002075284","Gm55436"
"ENSMUSG00000047678","Gpr82"
"ENSMUSG00000107836","Gm5315"
"ENSMUSG00000027238","Frmd5"
"ENSMUSG00000089587","Gm23339"
"ENSMUSG00002076854","Gm55419"
"ENSMUSG00000108270","Gm4602"
"ENSMUSG00000030188","Magohb"
"ENSMUSG00000082736","Gm5381"
"ENSMUSG00000088706","Gm25552"
"ENSMUSG00000024979","Tectb"
"ENSMUSG00000015665","Awat1"
"ENSMUSG00000062515","Fabp4"
"ENSMUSG00000030647","Ndufc2"
"ENSMUSG00000069520","Tmem19"
"ENSMUSG00000083974","Gm16053"
"ENSMUSG00000078346","H2al1n"
"ENSMUSG00000035686","Thrsp"
"ENSMUSG00000027858","Tspan2"
"ENSMUSG00000080733","Gm14867"
"ENSMUSG00000081886","Gm6175"
"ENSMUSG00000064772","Gm25202"
"ENSMUSG00000084907","Gm14505"
"ENSMUSG00000044359","P2ry4"
"ENSMUSG00000004098","Col5a3"
"ENSMUSG00000051727","Kctd14"
"ENSMUSG00002075146","Snora36b"
"ENSMUSG00000105770","Mir664"
"ENSMUSG00000063558","Aox1"
"ENSMUSG00000082838","Gm14519"
"ENSMUSG00000083931","Gm14518"
"ENSMUSG00000081994","Gm14517"
"ENSMUSG00000118898","Gm25207"
"ENSMUSG00002075606","Gm55437"
"ENSMUSG00001118666","Gm23516"
"ENSMUSG00000025037","Maoa"
"ENSMUSG00000117360","Gm18581"
"ENSMUSG00000117383","4930415O11Rik"
"ENSMUSG00000057440","Mpp7"
"ENSMUSG00000101280","Gm8600"
"ENSMUSG00000109557","Gm18463"
"ENSMUSG00000107658","Gm44958"
"ENSMUSG00000109276","Gm4548"
"ENSMUSG00000032899","Styk1"
"ENSMUSG00000091423","Gm17509"
"ENSMUSG00000096513","Vmn1r247"
"ENSMUSG00000114540","Gm6421"
"ENSMUSG00000096760","Vmn1r248"
"ENSMUSG00000021706","Zfyve16"
"ENSMUSG00000109569","Gm44554"
"ENSMUSG00000095064","Vmn1r135"
"ENSMUSG00000021234","Fam161b"
"ENSMUSG00000095191","Vmn1r249"
"ENSMUSG00000023942","Slc29a1"
"ENSMUSG00000092506","Vmn1r-ps77"
"ENSMUSG00000109092","Gm18057"
"ENSMUSG00000098289","Mir6715"
"ENSMUSG00000055523","Gucy2g"
"ENSMUSG00000095976","Gm5891"
"ENSMUSG00000108853","Gm18464"
"ENSMUSG00000109405","Gm16443"
"ENSMUSG00000095962","Vmn1r137"
"ENSMUSG00000095287","Vmn1r-ps78"
"ENSMUSG00000095163","Vmn1r138"
"ENSMUSG00000109263","Gm18058"
"ENSMUSG00000060890","Arr3"
"ENSMUSG00000096283","Gm6176"
"ENSMUSG00000109041","Gm18465"
"ENSMUSG00000074311","Vmn1r139"
"ENSMUSG00000096304","Gm16451"
"ENSMUSG00000096348","Vmn1r250"
"ENSMUSG00000095273","Vmn1r142"
"ENSMUSG00000030534","Vps33b"
"ENSMUSG00000024981","Acsl5"
"ENSMUSG00000102705","4632432E15Rik"
"ENSMUSG00000114358","Gm5200"
"ENSMUSG00000104434","Gm37421"
"ENSMUSG00000046957","Spz1"
"ENSMUSG00000102834","1700029B24Rik"
"ENSMUSG00000053897","Slc39a8"
"ENSMUSG00000021730","Hcn1"
"ENSMUSG00000030189","Ybx3"
"ENSMUSG00000020647","Ncoa1"
"ENSMUSG00000021703","Serinc5"
"ENSMUSG00000083141","Gm15752"
"ENSMUSG00000022679","Mpv17l"
"ENSMUSG00000026153","Fam135a"
"ENSMUSG00000036966","Spryd3"
"ENSMUSG00002075521","Gm55495"
"ENSMUSG00000032120","C2cd2l"
"ENSMUSG00000114631","Gm5199"
"ENSMUSG00000088155","Gm26349"
"ENSMUSG00000118914","Gm25284"
"ENSMUSG00000114713","Gm9633"
"ENSMUSG00000088482","Gm23641"
"ENSMUSG00000107178","Gm42531"
"ENSMUSG00000106980","Gm43690"
"ENSMUSG00000021731","Mrps30"
"ENSMUSG00000041132","N4bp2l1"
"ENSMUSG00000040147","Maob"
"ENSMUSG00000020137","Thap2"
"ENSMUSG00000034163","Zfc3h1"
"ENSMUSG00000097411","B430218F22Rik"
"ENSMUSG00000024982","Zdhhc6"
"ENSMUSG00000114668","Gm47563"
"ENSMUSG00000021702","Thbs4"
"ENSMUSG00000089733","Gm15628"
"ENSMUSG00000090054","Gm15629"
"ENSMUSG00000021999","Cpb2"
"ENSMUSG00000029094","Afap1"
"ENSMUSG00000089818","Gm15950"
"ENSMUSG00000065036","Gm22362"
"ENSMUSG00000038094","Atp13a4"
"ENSMUSG00000023046","Igfbp6"
"ENSMUSG00000107832","Gm18688"
"ENSMUSG00000095577","Gm6619"
"ENSMUSG00000094113","5430401F13Rik"
"ENSMUSG00002076433","Gm54923"
"ENSMUSG00000115789","Gm18147"
"ENSMUSG00000027857","Tshb"
"ENSMUSG00000022000","Zc3h13"
"ENSMUSG00000023045","Soat2"
"ENSMUSG00002075775","Gm55424"
"ENSMUSG00000062477","Hmgb1l"
"ENSMUSG00000107784","Gm43943"
"ENSMUSG00000054497","Tas2r130"
"ENSMUSG00000053389","Tas2r107"
"ENSMUSG00000057754","Tas2r106"
"ENSMUSG00000061977","Tas2r104"
"ENSMUSG00000051153","Tas2r105"
"ENSMUSG00000015668","Pdzd11"
"ENSMUSG00000063478","Tas2r114"
"ENSMUSG00000107983","Gm43973"
"ENSMUSG00000114365","Gm9098"
"ENSMUSG00000107774","Gm43974"
"ENSMUSG00000108245","Prb3-ps"
"ENSMUSG00000114485","Gm47330"
"ENSMUSG00000108144","Gm43975"
"ENSMUSG00000096071","Vmn1r143"
"ENSMUSG00000114831","Gm18361"
"ENSMUSG00000094981","Vmn1r251"
"ENSMUSG00000021704","Mtx3"
"ENSMUSG00000004347","Pde1c"
"ENSMUSG00000025133","Ints4"
"ENSMUSG00000105855","Gm42681"
"ENSMUSG00000106290","Gm43429"
"ENSMUSG00000105681","Gm43428"
"ENSMUSG00000106141","Gm18330"
"ENSMUSG00000027530","Fabp12"
"ENSMUSG00000033099","Nol12"
"ENSMUSG00000021732","Fgf10"
"ENSMUSG00000091722","Siah3"
"ENSMUSG00000034913","Cby2"
"ENSMUSG00000040138","Ndp"
"ENSMUSG00000086709","Gm16263"
"ENSMUSG00000114868","Gm47335"
"ENSMUSG00002075099","Gm55318"
"ENSMUSG00000021541","Trpc7"
"ENSMUSG00000025038","Efhc2"
"ENSMUSG00000106927","Gm43598"
"ENSMUSG00000023044","Csad"
"ENSMUSG00000082692","H2af-ps1"
"ENSMUSG00000029655","N4bp2l2"
"ENSMUSG00000022002","Erich6b"
"ENSMUSG00000104092","A930014E01Rik"
"ENSMUSG00000103592","Gm38364"
"ENSMUSG00000105937","Gm43602"
"ENSMUSG00000105244","Gm5281"
"ENSMUSG00000027531","Impa1"
"ENSMUSG00000112822","A130012E19Rik"
"ENSMUSG00000090841","Myl6"
"ENSMUSG00000064394","Gm23622"
"ENSMUSG00000053773","Rdh8"
"ENSMUSG00000034893","Cog3"
"ENSMUSG00000081858","Gm14514"
"ENSMUSG00000118527","Gm53025"
"ENSMUSG00000119745","Gm22294"
"ENSMUSG00000034311","Kif4"
"ENSMUSG00000029093","Sorcs2"
"ENSMUSG00000032123","Dpagt1"
"ENSMUSG00000094149","Vmn1r252"
"ENSMUSG00000109411","Gm18059"
"ENSMUSG00000101948","Gm4557"
"ENSMUSG00000065360","Gm24412"
"ENSMUSG00000109444","Gm18466"
"ENSMUSG00000108944","Gm4558"
"ENSMUSG00000093871","Vmn1r253"
"ENSMUSG00000095816","Vmn1r-ps70"
"ENSMUSG00000093917","Vmn1r254"
"ENSMUSG00000095543","Vmn1r148"
"ENSMUSG00000094542","Vmn1r149"
"ENSMUSG00000096871","Gm10665"
"ENSMUSG00000093853","Vmn1r151"
"ENSMUSG00000117556","Gm18948"
"ENSMUSG00000095383","Vmn1r152"
"ENSMUSG00000094334","Fabp5l2"
"ENSMUSG00000117542","Gm18763"
"ENSMUSG00000064822","Gm24292"
"ENSMUSG00000094748","Vmn1r255"
"ENSMUSG00000117462","Gm50027"
"ENSMUSG00000117505","Gm9993"
"ENSMUSG00000024283","Wac"
"ENSMUSG00000095984","Vmn1r256"
"ENSMUSG00000109043","Gm18060"
"ENSMUSG00000109396","Gm4565"
"ENSMUSG00000109567","Gm18467"
"ENSMUSG00000109247","Gm8685"
"ENSMUSG00000094905","Vmn1r155"
"ENSMUSG00000049932","H2ax"
"ENSMUSG00000092547","Vmn1r-ps80"
"ENSMUSG00000025040","Fundc1"
"ENSMUSG00000038930","Rccd1"
"ENSMUSG00002075808","Gm55497"
"ENSMUSG00000103392","Gm38303"
"ENSMUSG00000032297","Celf6"
"ENSMUSG00000037922","Bank1"
"ENSMUSG00002075876","Gm54930"
"ENSMUSG00000022003","Slc25a30"
"ENSMUSG00000102398","Gm37580"
"ENSMUSG00000097670","Gm26607"
"ENSMUSG00000015829","Tnr"
"ENSMUSG00000098884","Mir7689"
"ENSMUSG00000029198","Grpel1"
"ENSMUSG00002076270","Gm55203"
"ENSMUSG00002075858","Gm55204"
"ENSMUSG00000020640","Itsn2"
"ENSMUSG00000081264","Gm14021"
"ENSMUSG00000027108","Ola1"
"ENSMUSG00000029196","Tada2b"
"ENSMUSG00000083140","Gm5073"
"ENSMUSG00000081614","Gm9436"
"ENSMUSG00000096716","Gm5755"
"ENSMUSG00000096235","Gm5123"
"ENSMUSG00000025043","Dusp21"
"ENSMUSG00000109369","Vmn2r-ps88"
"ENSMUSG00000019359","Gdpd2"
"ENSMUSG00000050677","Ccdc96"
"ENSMUSG00000109812","Gm45640"
"ENSMUSG00000109863","Gm45643"
"ENSMUSG00000074171","Gm6658"
"ENSMUSG00000110377","Gm45363"
"ENSMUSG00000089179","Gm22428"
"ENSMUSG00000038023","Atp6v0a2"
"ENSMUSG00000031552","Adam18"
"ENSMUSG00000095081","Vmn1r257"
"ENSMUSG00000109169","Gm18061"
"ENSMUSG00000095363","Gm4567"
"ENSMUSG00000047419","Cmya5"
"ENSMUSG00000060126","Tpt1"
"ENSMUSG00000109546","Gm18468"
"ENSMUSG00000095619","Vmn1r157"
"ENSMUSG00000094700","Vmn1r158"
"ENSMUSG00000100654","Gm4207"
"ENSMUSG00000095931","Vmn1r159"
"ENSMUSG00000108922","Gm44825"
"ENSMUSG00002076106","Gm55906"
"ENSMUSG00002076456","Gm55907"
